,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,House_Age,Total_SFT
17,90,RL,10791,Reg,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,-1,-1,,-1,-1,0,0,GasA,3,Y,SBrkr,0,1296,0,0,2,0,2,2,3,Typ,0,CarPort,Unf,2,516,3,3,Y,0,0,0,0,10,2006,WD,Normal,90000,53,1296
18,20,RL,13695,Reg,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0.0,5,0,468,1114,GasA,5,Y,SBrkr,0,1114,1,0,1,1,3,1,4,Typ,0,Detchd,Unf,2,576,3,3,Y,0,102,0,0,6,2008,WD,Normal,159000,16,1114
19,20,RL,7560,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,0.0,1,0,525,1029,GasA,3,Y,SBrkr,0,1339,0,0,1,0,3,1,3,Min1,0,Attchd,Unf,1,294,3,3,Y,0,0,0,0,5,2009,COD,Abnorml,139000,62,1339
20,60,RL,14215,IR1,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2.0,0,0,1158,1158,GasA,5,Y,SBrkr,0,2376,0,0,3,1,4,1,4,Typ,1,BuiltIn,RFn,3,853,3,3,Y,240,154,0,0,11,2006,New,Partial,325300,15,2376
21,45,RM,7449,Reg,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0.0,0,0,637,637,GasA,5,Y,FuseF,0,1108,0,0,1,0,3,1,4,Typ,1,Attchd,Unf,1,280,3,3,N,0,0,205,0,6,2007,WD,Normal,139400,90,1108
22,20,RL,9742,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0.0,0,0,1777,1777,GasA,5,Y,SBrkr,0,1795,0,0,2,0,3,1,4,Typ,1,Attchd,RFn,2,534,3,3,Y,171,159,0,0,9,2008,WD,Normal,230000,18,1795
23,120,RM,4224,Reg,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0.0,5,0,200,1040,GasA,3,Y,SBrkr,0,1060,1,0,1,0,3,1,3,Typ,1,Attchd,Unf,2,572,3,3,Y,100,110,0,0,6,2007,WD,Normal,129900,44,1060
24,20,RL,8246,IR1,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,1.0,2,4,204,1060,GasA,5,Y,SBrkr,0,1060,1,0,1,0,3,1,4,Typ,1,Attchd,Unf,1,270,3,3,Y,406,90,0,0,5,2010,WD,Normal,154000,52,1060
25,20,RL,14230,Reg,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,0.0,0,0,1566,1566,GasA,5,Y,SBrkr,0,1600,0,0,2,0,3,1,4,Typ,1,Attchd,RFn,3,890,3,3,Y,0,56,0,0,7,2009,WD,Normal,256300,13,1600
26,20,RL,7200,Reg,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1.0,3,2,180,900,GasA,3,Y,SBrkr,0,900,0,1,1,0,3,1,4,Typ,0,Detchd,Unf,2,576,3,3,Y,222,32,0,0,5,2010,WD,Normal,134800,69,900
27,20,RL,11478,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,0.0,5,0,486,1704,GasA,5,Y,SBrkr,0,1704,1,0,2,0,3,1,4,Typ,1,Attchd,RFn,3,772,3,3,Y,0,50,0,0,5,2010,WD,Normal,306000,13,1704
28,20,RL,16321,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,3.0,3,0,207,1484,GasA,3,Y,SBrkr,0,1600,1,0,1,0,2,1,3,Typ,2,Attchd,RFn,1,319,3,3,Y,288,258,0,0,12,2006,WD,Normal,207500,63,1600
29,30,RM,6324,IR1,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0.0,0,0,520,520,GasA,2,N,SBrkr,0,520,0,0,1,0,1,1,2,Typ,0,Detchd,Unf,1,240,2,3,Y,49,0,87,0,5,2008,WD,Normal,68500,93,520
30,70,C (all),8500,Reg,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,0.0,0,0,649,649,GasA,3,N,SBrkr,0,1317,0,0,1,0,3,1,3,Typ,0,Detchd,Unf,1,250,3,2,N,0,54,172,0,7,2008,WD,Normal,40000,100,1317
31,20,RL,8544,IR1,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0.0,0,0,1228,1228,GasA,4,Y,SBrkr,0,1228,0,0,1,1,3,1,4,Typ,0,Attchd,Unf,1,271,3,3,Y,0,65,0,0,6,2008,WD,Normal,149350,54,1228
32,20,RL,11049,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2.0,0,0,1234,1234,GasA,5,Y,SBrkr,0,1234,0,0,2,0,3,1,4,Typ,0,Attchd,RFn,2,484,3,3,Y,0,30,0,0,1,2008,WD,Normal,179900,13,1234
33,20,RL,10552,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0.0,2,0,380,1398,GasA,4,Y,SBrkr,0,1700,0,1,1,1,4,1,4,Typ,1,Attchd,RFn,2,447,3,3,Y,0,38,0,0,4,2010,WD,Normal,165500,61,1700
34,120,RL,7313,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,0.0,5,0,408,1561,GasA,5,Y,SBrkr,0,1561,1,0,2,0,2,1,5,Typ,1,Attchd,Fin,2,556,3,3,Y,203,47,0,0,8,2007,WD,Normal,277500,15,1561
35,60,RL,13418,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,2.0,0,0,1117,1117,GasA,5,Y,SBrkr,0,2452,0,0,3,1,4,1,4,Typ,1,BuiltIn,Fin,3,691,3,3,Y,113,32,0,0,9,2006,WD,Normal,309000,16,2452
36,20,RL,10859,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0.0,0,0,1097,1097,GasA,5,Y,SBrkr,0,1097,0,0,1,1,3,1,3,Typ,0,Attchd,Unf,2,672,3,3,Y,392,64,0,0,6,2009,WD,Normal,145000,26,1097
37,20,RL,8532,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0.0,2,0,84,1297,GasA,4,Y,SBrkr,0,1297,0,1,1,0,3,1,3,Typ,1,Attchd,Fin,2,498,3,3,Y,0,0,0,0,10,2009,WD,Normal,153000,66,1297
38,20,RL,7922,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0.0,5,0,326,1057,GasA,3,Y,SBrkr,0,1057,1,0,1,0,3,1,4,Typ,0,Detchd,Unf,1,246,3,3,Y,0,52,0,0,1,2010,WD,Abnorml,109000,67,1057
39,90,RL,6040,Reg,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,-1,-1,,-1,-1,0,0,GasA,3,N,FuseP,0,1152,0,0,2,0,2,2,2,Typ,0,NoGarage,NoGarage,0,0,-1,-1,N,0,0,0,0,6,2008,WD,AdjLand,82000,65,1152
40,20,RL,8658,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,0.0,2,0,445,1088,GasA,5,Y,SBrkr,0,1324,0,0,2,0,3,1,3,Typ,1,Attchd,RFn,2,440,3,3,Y,0,138,0,0,12,2006,WD,Abnorml,160000,55,1324
41,20,RL,16905,Reg,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,3.0,3,0,383,1350,GasA,4,Y,SBrkr,0,1328,0,1,1,1,2,1,3,Typ,2,Attchd,RFn,1,308,3,3,P,0,104,0,0,7,2007,WD,Normal,170000,61,1328
42,85,RL,9180,IR1,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,2.0,4,1,0,840,GasA,4,Y,SBrkr,0,884,1,0,1,0,2,1,4,Typ,0,Attchd,RFn,2,504,3,4,Y,240,0,0,0,12,2007,WD,Normal,144000,37,884
43,20,RL,9200,IR1,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,2.0,1,3,167,938,GasA,3,Y,SBrkr,0,938,1,0,1,0,3,1,3,Typ,0,Detchd,Unf,1,308,3,3,Y,145,0,0,0,7,2008,WD,Normal,130250,45,938
44,20,RL,7945,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,0.0,4,3,465,1150,GasA,5,Y,FuseA,0,1150,1,0,1,0,3,1,3,Typ,0,Attchd,RFn,1,300,3,3,Y,0,0,0,0,5,2006,WD,Normal,141000,61,1150
45,120,RL,7658,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0.0,5,0,1296,1752,GasA,5,Y,SBrkr,0,1752,1,0,2,0,2,1,5,Typ,1,Attchd,RFn,2,576,3,3,Y,196,82,0,0,2,2010,WD,Normal,319900,15,1752
46,50,RL,12822,IR1,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,0.0,5,0,83,1434,GasA,5,Y,SBrkr,0,2149,1,0,1,1,1,1,4,Typ,1,Attchd,RFn,2,670,3,3,Y,168,43,0,198,8,2009,WD,Abnorml,239686,17,2149
47,20,FV,11096,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2.0,5,0,1632,1656,GasA,5,Y,SBrkr,0,1656,0,0,2,0,3,1,4,Typ,0,Attchd,RFn,3,826,3,3,Y,0,146,0,0,7,2007,WD,Normal,249700,14,1656
48,190,RM,4456,Reg,Lvl,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0.0,0,0,736,736,GasA,4,Y,SBrkr,0,1452,0,0,2,0,2,3,3,Typ,0,NoGarage,NoGarage,0,0,-1,-1,N,0,0,102,0,6,2009,New,Partial,113000,100,1452
49,20,RL,7742,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0.0,3,0,192,955,GasA,5,Y,SBrkr,0,955,1,0,1,0,3,1,3,Typ,0,Attchd,Unf,1,386,3,3,Y,0,0,0,0,1,2007,WD,Normal,127000,54,955
50,60,RL,13869,IR2,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2.0,5,0,612,794,GasA,4,Y,SBrkr,0,1470,0,1,2,0,3,1,3,Typ,0,Attchd,Fin,2,388,3,3,Y,0,75,0,0,7,2007,WD,Normal,177000,23,1470
51,50,RM,6240,Reg,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0.0,0,0,816,816,GasA,3,Y,SBrkr,360,1176,0,0,1,0,3,1,3,Typ,1,Detchd,Unf,2,528,3,3,Y,112,0,0,0,9,2006,WD,Normal,114500,86,816
52,90,RM,8472,IR2,Bnk,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,3.0,1,5,0,816,GasA,3,N,SBrkr,0,816,1,0,1,0,2,1,3,Typ,0,CarPort,Unf,2,516,3,3,Y,106,0,0,0,5,2010,WD,Normal,110000,57,816
53,20,RL,50271,IR1,Low,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,3.0,5,0,32,1842,GasA,4,Y,SBrkr,0,1842,2,0,0,1,0,1,4,Typ,1,Attchd,Fin,3,894,3,3,Y,857,72,0,0,11,2006,WD,Normal,385000,39,1842
54,80,RL,7134,Reg,Bnk,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0.0,4,0,0,384,GasA,3,Y,SBrkr,0,1360,0,0,1,0,3,1,3,Min1,1,Detchd,Unf,2,572,3,3,Y,0,50,0,0,2,2007,WD,Normal,130000,65,1360
55,20,RL,10175,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3,3,0.0,3,0,935,1425,GasA,4,Y,SBrkr,0,1425,0,0,2,0,3,1,3,Typ,1,Attchd,RFn,2,576,3,3,Y,0,0,0,0,7,2008,WD,Normal,180500,56,1425
56,160,FV,2645,Reg,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,0.0,5,0,321,970,GasA,5,Y,SBrkr,0,1739,1,0,2,1,3,1,4,Typ,0,Attchd,Fin,2,480,3,3,Y,115,0,0,0,8,2009,WD,Abnorml,172500,21,1739
57,60,RL,11645,IR1,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0.0,0,0,860,860,GasA,5,Y,SBrkr,0,1720,0,0,2,1,3,1,4,Typ,0,Attchd,RFn,2,565,3,3,Y,0,70,0,0,8,2006,WD,Normal,196500,16,1720
58,60,RL,13682,IR2,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,5,3,3.0,0,0,1410,1410,GasA,5,Y,SBrkr,0,2945,0,0,3,1,3,1,4,Typ,1,BuiltIn,Fin,3,641,3,3,Y,192,0,37,0,10,2006,New,Partial,438780,14,2945
59,20,RL,7200,Reg,Bnk,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,2.0,4,0,148,780,GasA,5,Y,SBrkr,0,780,0,0,1,0,2,1,3,Typ,0,Detchd,Unf,1,352,3,3,Y,196,0,0,0,1,2008,WD,Normal,124900,48,780
60,20,RL,13072,Reg,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0.0,4,0,217,1158,GasA,5,Y,SBrkr,0,1158,1,0,1,1,3,1,4,Typ,0,Detchd,Unf,2,576,3,3,Y,0,50,0,0,5,2006,New,Partial,158000,16,1158
61,75,RM,7200,Reg,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,0.0,0,0,530,530,GasA,3,N,SBrkr,0,1111,0,0,1,0,3,1,2,Typ,0,Detchd,Unf,1,288,3,3,N,0,0,144,0,3,2007,WD,Normal,101000,100,1111
62,120,RL,6442,IR1,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,4,1.0,5,0,1346,1370,GasA,5,Y,SBrkr,0,1370,0,0,2,0,2,1,4,Typ,1,Attchd,RFn,2,484,3,3,Y,120,49,0,0,10,2007,WD,Normal,202500,14,1370
63,70,RM,10300,IR1,Bnk,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,0.0,0,0,576,576,GasA,4,Y,SBrkr,0,1710,0,0,2,0,3,1,3,Typ,0,Detchd,Unf,2,480,3,3,Y,12,11,64,0,4,2010,WD,Normal,140000,99,1710
64,60,RL,9375,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,3,3,PConc,4,3,0.0,5,0,318,1057,GasA,5,Y,SBrkr,0,2034,1,0,2,1,3,1,4,Typ,0,Attchd,RFn,2,645,3,3,Y,576,36,0,0,2,2009,WD,Normal,219500,23,2034
65,60,RL,9591,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,4,3,PConc,5,3,2.0,0,0,1143,1143,GasA,5,Y,SBrkr,0,2473,0,0,2,1,4,1,4,Typ,1,BuiltIn,RFn,3,852,3,3,Y,192,151,0,0,10,2007,WD,Normal,317000,16,2473
66,20,RL,19900,Reg,Lvl,Inside,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,3,3,CBlock,4,3,3.0,5,0,1035,1947,GasA,3,Y,SBrkr,0,2207,1,0,2,0,3,1,3,Min1,1,Attchd,RFn,2,576,3,3,Y,301,0,0,0,7,2010,WD,Normal,180000,50,2207
